id_estado;id_regiao;id_pais;sigla_uf;nome_estado;populacao_estimada;area_estimada_km2
11;1;1;RO;Rondônia;1746227;237754,171
12;1;1;AC;Acre;880631;164082,96
13;1;1;AM;Amazonas;4281209;1558706,127
14;1;1;RR;Roraima;716793;223505,385
15;1;1;PA;Pará;8664306;1245828,829
16;1;1;AP;Amapá;802837;142253,88
17;1;1;TO;Tocantins;1577342;277423,627
21;2;1;MA;Maranhão;7010960;329651,478
22;2;1;PI;Piauí;3375646;251755,499
23;2;1;CE;Ceará;9233656;148894,444
24;2;1;RN;Rio Grande do Norte;3446071;52809,599
25;2;1;PB;Paraíba;4145040;56467,242
26;2;1;PE;Pernambuco;9539029;98067,879
27;2;1;AL;Alagoas;3220104;27830,661
28;2;1;SE;Sergipe;2291077;21938,188
29;2;1;BA;Bahia;14850513;564760,429
31;3;1;MG;Minas Gerais;21322691;586513,984
32;3;1;ES;Espírito Santo;4102129;46074,448
33;3;1;RJ;Rio de Janeiro;17219679;43750,425
35;3;1;SP;São Paulo;45973194;248219,485
41;4;1;PR;Paraná;11824665;199298,981
42;4;1;SC;Santa Catarina;8058441;95730,69
43;4;1;RS;Rio Grande do Sul;11229915;281707,151
50;5;1;MS;Mato Grosso do Sul;2901895;357142,01
51;5;1;MT;Mato Grosso;3836399;903208,362
52;5;1;GO;Goiás;7350483;340242,86
53;5;1;DF;Distrito Federal;2982818;5760,783
